algorithm,episode,return,steps,success,epsilon,wall_hits,penalty_entries,locked_door_attempts,gate_blocks,key_collected,door_crossings,seed,epsilon_schedule,reward_mode
q_learning,66,-374.5,441,0,0.8291207931839485,95,5,0,0,1,0,5,exponential,sparse
q_learning,67,-492.0,441,0,0.8267700641907848,109,19,0,0,1,0,5,exponential,sparse
q_learning,68,-431.5,441,0,0.8244260000006809,134,5,0,0,1,6,5,exponential,sparse
q_learning,69,-360.5,441,0,0.8220885817175411,82,6,0,0,1,4,5,exponential,sparse
q_learning,70,-456.5,441,0,0.819757790498844,145,6,0,0,1,6,5,exponential,sparse
q_learning,71,-359.0,441,0,0.817433607555491,95,3,0,0,1,2,5,exponential,sparse
q_learning,72,-475.0,441,0,0.8151160141516541,121,14,0,0,1,0,5,exponential,sparse
q_learning,73,-396.5,441,0,0.8128049916046256,92,9,0,0,1,0,5,exponential,sparse
q_learning,74,-508.5,441,0,0.8105005212846668,133,16,0,0,1,1,5,exponential,sparse
q_learning,75,-395.5,441,0,0.8082025846148582,81,11,0,0,1,3,5,exponential,sparse
q_learning,76,-474.0,441,0,0.8059111630709499,123,13,0,1,1,1,5,exponential,sparse
q_learning,77,-441.5,441,0,0.8036262381812121,120,9,0,1,1,11,5,exponential,sparse
q_learning,78,-359.0,441,0,0.801347791526286,109,0,0,0,1,0,5,exponential,sparse
q_learning,79,-440.5,441,0,0.7990758047390356,98,14,0,0,1,6,5,exponential,sparse
q_learning,80,-370.0,441,0,0.7968102595043994,92,5,0,0,1,4,5,exponential,sparse
q_learning,81,-436.5,441,0,0.7945511375592431,113,10,0,0,1,5,5,exponential,sparse
q_learning,82,-316.0,441,0,0.792298420692212,71,2,0,0,1,3,5,exponential,sparse
q_learning,83,-170.0,307,1,0.7900520907435843,74,7,0,1,1,4,5,exponential,sparse
q_learning,84,-414.5,441,0,0.7878121296051251,104,9,0,0,1,0,5,exponential,sparse
q_learning,85,-459.5,441,0,0.7855785192199398,92,18,0,0,1,6,5,exponential,sparse
q_learning,86,-451.0,441,0,0.7833512415823287,118,11,0,0,1,11,5,exponential,sparse
q_learning,87,-456.0,441,0,0.7811302787376425,141,7,0,0,1,3,5,exponential,sparse
q_learning,88,-410.0,441,0,0.7789156127821365,113,6,0,2,1,3,5,exponential,sparse
q_learning,89,-36.0,179,1,0.7767072258628271,47,3,0,0,1,6,5,exponential,sparse
q_learning,90,-492.0,441,0,0.7745051001773476,136,13,0,1,1,13,5,exponential,sparse
q_learning,91,-463.0,441,0,0.7723092179738047,97,17,0,1,1,1,5,exponential,sparse
q_learning,92,-260.0,397,1,0.7701195615506352,119,4,0,0,1,2,5,exponential,sparse
q_learning,93,-350.0,441,0,0.7679361132564638,89,3,0,0,1,0,5,exponential,sparse
q_learning,94,-68.0,179,1,0.7657588554899601,73,2,0,0,1,5,5,exponential,sparse
q_learning,95,-427.5,441,0,0.7635877706996976,108,10,0,0,1,2,5,exponential,sparse
q_learning,96,-508.5,441,0,0.7614228413840113,120,19,0,0,1,1,5,exponential,sparse
q_learning,97,-392.0,441,0,0.7592640500908573,117,3,0,0,1,1,5,exponential,sparse
q_learning,98,-440.5,441,0,0.7571113794176717,98,14,0,0,1,0,5,exponential,sparse
q_learning,99,-444.5,441,0,0.7549648120112306,110,12,0,0,1,0,5,exponential,sparse
q_learning,100,-457.5,441,0,0.7528243305675099,113,13,0,0,1,1,5,exponential,sparse
q_learning,101,-461.0,441,0,0.7506899178315463,93,18,0,0,1,0,5,exponential,sparse
q_learning,102,-147.0,293,1,0.7485615565972975,83,3,0,0,1,2,5,exponential,sparse
q_learning,103,-303.0,441,0,0.7464392297075043,67,1,0,0,1,0,5,exponential,sparse
