algorithm,variant,reward_mode,map_kind,runtime_seconds_mean,total_samples_mean,memory_bytes_mean,final_window_success_rate_mean,final_window_return_mean_mean,final_window_return_std_mean,policy_agreement_percent_mean,eval_success_rate_mean,eval_mean_return_mean,eval_std_return_mean,eval_mean_steps_mean,eval_mean_wall_collisions_mean,eval_mean_penalty_entries_mean,runtime_seconds_across_seed_std,total_samples_across_seed_std,memory_bytes_across_seed_std,final_window_success_rate_across_seed_std,final_window_return_mean_across_seed_std,final_window_return_std_across_seed_std,policy_agreement_percent_across_seed_std,eval_success_rate_across_seed_std,eval_mean_return_across_seed_std,eval_std_return_across_seed_std,eval_mean_steps_across_seed_std,eval_mean_wall_collisions_across_seed_std,eval_mean_penalty_entries_across_seed_std
q_learning,exponential,shaped,source,9.834704153200073,170455.9,20480.0,1.0,93.971075,14.42902104578846,81.01190476190476,1.0,93.55628125000001,13.268056674804532,29.811500000000002,2.5075,0.528,0.19150697233238045,1891.1014488916258,0.0,0.0,1.5707818755718435,0.8983606202097519,2.103642505603844,0.0,0.4350241671178285,0.4677229919746788,0.8516808381077977,0.09431993426630457,0.06768308503607086
q_learning,linear,shaped,source,16.161704473699864,315700.2,20480.0,1.0,94.7046375,13.388080858360118,85.05952380952381,1.0,93.798375,13.147915946607037,29.6045,2.4645,0.5385,0.4729707816289237,3138.921496310476,0.0,0.0,1.2902193677941902,0.9844629565523859,1.5624291367150842,0.0,0.3372160182564671,0.439152318236624,0.6100633163860947,0.06955034148011063,0.05215601595214112
q_learning,linear,sparse,source,11.731967302099656,316724.9,20480.0,1.0,85.631,14.052103069667453,84.10714285714286,1.0,85.0875,13.763006449166653,29.5425,2.4925,0.54,0.36724491593424824,1726.9170478051321,0.0,0.0,2.133464084534821,0.8411713971852032,3.0589678946499066,0.0,0.46718973661671975,0.43729964577750896,0.5839402794807016,0.07256893274673408,0.042071367935925266
sarsa_lambda,lambda_0.0,shaped,source,25.427872036000373,459155.5,36864.0,0.998,93.85119999999999,18.87277150107075,75.6547619047619,1.0,93.95671250000001,13.167283265440219,29.4065,2.4435000000000002,0.5475000000000001,2.7708811661857777,13045.60402012878,0.0,0.004000000000000002,1.7663413654712887,10.908818112380349,1.9278731834168619,0.0,0.19305981140892847,0.23832070665481805,0.07003748996073517,0.011191514642799745,0.017923448328934843
sarsa_lambda,lambda_0.3,shaped,source,23.196044782299758,444044.5,36864.0,1.0,94.75059999999999,13.076676046716035,77.14285714285714,1.0,93.931025,13.215259173478099,29.409000000000002,2.443,0.55,0.7098662083083503,10000.48174089628,0.0,0.0,1.3456757942108422,0.9757286654690986,2.4714927966698452,0.0,0.10790959106469414,0.17600952696993571,0.05902541825349581,0.016613247725836004,0.013038404810405281
sarsa_lambda,lambda_0.7,shaped,source,21.632589114799885,411627.8,36864.0,1.0,94.64775,13.865906311877836,79.82142857142857,1.0,93.89918125,13.296379669689662,29.4215,2.4455,0.5509999999999999,1.0112662789908236,6773.08879020495,0.0,0.0,1.2995247304303101,1.283394692885372,1.6290395456433329,0.0,0.1487190079321163,0.2739854469977013,0.04604617247937168,0.018500000000000114,0.018681541692269377
sarsa_lambda,lambda_0.9,shaped,source,20.953723783100212,405314.9,36864.0,1.0,93.54593750000001,15.171474032395716,79.04761904761905,1.0,88.27306875000001,18.053921161883082,31.0815,3.3884999999999996,0.5805,0.506758366986037,4835.905467438328,0.0,0.0,2.7083140167420194,2.932510202182586,2.1756746288686966,0.0,14.301572063294353,12.55726261286897,3.6323126586239796,2.864310606411253,0.09421915941038744
value_iteration,gamma_0.95,shaped,source,4.81632374199944,0.0,20992.0,,,,100.0,1.0,93.86137500000001,13.345914121347214,29.37,2.43,0.565,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
