run_id,target,scenario,mode,beta,seed,transferred_state_count,evaluation_base_seed,initial_success_rate,initial_mean_return,episodes_to_success_threshold,samples_to_success_threshold,final_success_rate,final_mean_return,final_mean_steps,runtime_seconds,total_samples,memory_bytes,policy_agreement_percent
transfer_similar_scaled_beta_0p25_seed_113,similar,scaled_beta_0.25,scaled,0.25,113,512,20005,1.0,46.160999999999994,100,6735,1.0,97.629875,28.085,4.046824379998725,57682,20480,73.2919254658385
transfer_similar_scaled_beta_0p50_seed_5,similar,scaled_beta_0.50,scaled,0.5,5,512,20005,1.0,87.43275000000001,100,5404,1.0,95.53362499999999,28.415,3.5603232249995926,56969,20480,70.1863354037267
transfer_similar_scaled_beta_0p50_seed_17,similar,scaled_beta_0.50,scaled,0.5,17,512,20005,1.0,95.81725000000002,100,6088,1.0,97.4708125,28.09,3.598671281000861,57705,20480,69.56521739130434
transfer_similar_scaled_beta_0p50_seed_29,similar,scaled_beta_0.50,scaled,0.5,29,512,20005,1.0,94.423125,100,6178,1.0,97.3024375,28.135,3.6714974740007165,56988,20480,70.80745341614907
transfer_similar_scaled_beta_0p50_seed_41,similar,scaled_beta_0.50,scaled,0.5,41,512,20005,1.0,94.65287500000001,100,5903,1.0,97.71431250000002,28.305,3.7569415390007634,57974,20480,72.67080745341615
transfer_similar_scaled_beta_0p50_seed_53,similar,scaled_beta_0.50,scaled,0.5,53,512,20005,1.0,94.425375,100,6378,1.0,97.60493749999999,28.345,3.7111087499997666,57556,20480,69.56521739130434
transfer_similar_scaled_beta_0p50_seed_65,similar,scaled_beta_0.50,scaled,0.5,65,512,20005,1.0,90.918625,100,5735,1.0,97.54637499999998,28.135,3.8995388509993063,56805,20480,75.15527950310559
transfer_similar_scaled_beta_0p50_seed_77,similar,scaled_beta_0.50,scaled,0.5,77,512,20005,1.0,95.781875,100,5830,1.0,97.33768749999999,28.235,3.6855461279992596,56865,20480,70.80745341614907
transfer_similar_scaled_beta_0p50_seed_89,similar,scaled_beta_0.50,scaled,0.5,89,512,20005,1.0,85.67975,100,5897,1.0,97.28075000000001,28.12,3.6573666549993504,56600,20480,70.80745341614907
transfer_similar_scaled_beta_0p50_seed_101,similar,scaled_beta_0.50,scaled,0.5,101,512,20005,1.0,92.19487500000001,100,6153,1.0,97.680625,28.17,3.7168024339989643,57104,20480,74.53416149068323
transfer_similar_scaled_beta_0p50_seed_113,similar,scaled_beta_0.50,scaled,0.5,113,512,20005,1.0,46.160999999999994,100,6393,1.0,97.735625,28.315,3.5891337749999366,57751,20480,69.56521739130434
transfer_similar_scaled_beta_0p75_seed_5,similar,scaled_beta_0.75,scaled,0.75,5,512,20005,1.0,87.43275000000001,100,5609,1.0,97.05425,28.35,3.618268670999896,57337,20480,73.91304347826087
transfer_similar_scaled_beta_0p75_seed_17,similar,scaled_beta_0.75,scaled,0.75,17,512,20005,1.0,95.81725000000002,100,6455,1.0,94.78056249999997,28.45,3.762566383999001,59400,20480,68.32298136645963
transfer_similar_scaled_beta_0p75_seed_29,similar,scaled_beta_0.75,scaled,0.75,29,512,20005,1.0,94.423125,100,5781,1.0,97.62831249999999,28.105,3.5836305699995137,57070,20480,71.42857142857143
transfer_similar_scaled_beta_0p75_seed_41,similar,scaled_beta_0.75,scaled,0.75,41,512,20005,1.0,94.65287500000001,100,6206,1.0,97.5325,28.15,3.9085047980006493,58291,20480,74.53416149068323
transfer_similar_scaled_beta_0p75_seed_53,similar,scaled_beta_0.75,scaled,0.75,53,512,20005,1.0,94.425375,100,6096,1.0,96.9755,28.295,6.988087423000252,57620,20480,71.42857142857143
transfer_similar_scaled_beta_0p75_seed_65,similar,scaled_beta_0.75,scaled,0.75,65,512,20005,1.0,90.918625,100,5622,1.0,96.96337500000001,28.305,3.692229274998681,56815,20480,74.53416149068323
transfer_similar_scaled_beta_0p75_seed_77,similar,scaled_beta_0.75,scaled,0.75,77,512,20005,1.0,95.781875,100,6012,1.0,97.04006249999999,28.16,3.7633945340003265,57936,20480,68.94409937888199
transfer_similar_scaled_beta_0p75_seed_89,similar,scaled_beta_0.75,scaled,0.75,89,512,20005,1.0,85.67975,100,6147,1.0,97.05881250000002,28.19,3.5783779009998398,56867,20480,68.94409937888199
transfer_similar_scaled_beta_0p75_seed_101,similar,scaled_beta_0.75,scaled,0.75,101,512,20005,1.0,92.19487500000001,100,5613,1.0,97.4455625,28.155,3.638501636998626,56496,20480,72.67080745341615
transfer_similar_scaled_beta_0p75_seed_113,similar,scaled_beta_0.75,scaled,0.75,113,512,20005,1.0,46.160999999999994,100,5944,1.0,97.1675,28.56,3.6917194289999316,58222,20480,67.70186335403727
transfer_similar_selective_seed_5,similar,selective,selective,,5,32,20005,0.0,-1005.4106250000034,100,14266,1.0,95.55768749999999,28.29,4.109326050000163,65228,20480,71.42857142857143
transfer_similar_selective_seed_17,similar,selective,selective,,17,32,20005,0.0,-1005.4106250000034,113,18715,1.0,97.796,28.015,4.564355852999142,69357,20480,67.70186335403727
transfer_similar_selective_seed_29,similar,selective,selective,,29,32,20005,0.0,-1005.4106250000034,112,18644,1.0,97.7246875,28.105,4.806908929000201,68972,20480,72.67080745341615
transfer_similar_selective_seed_41,similar,selective,selective,,41,32,20005,0.0,-1005.4106250000034,105,18078,1.0,97.29825000000001,28.295,4.331871536000108,69615,20480,73.2919254658385
transfer_similar_selective_seed_53,similar,selective,selective,,53,32,20005,0.0,-1005.4106250000034,106,16130,1.0,98.0285625,28.08,4.179894807999517,66941,20480,73.91304347826087
transfer_similar_selective_seed_65,similar,selective,selective,,65,32,20005,0.0,-1005.4106250000034,106,15262,1.0,97.9880625,28.27,4.1815932339995925,66773,20480,73.91304347826087
transfer_similar_selective_seed_77,similar,selective,selective,,77,32,20005,0.0,-1005.4106250000034,121,23089,1.0,97.30818749999999,28.29,4.582320949999485,74227,20480,67.70186335403727
transfer_similar_selective_seed_89,similar,selective,selective,,89,32,20005,0.0,-1005.4106250000034,102,16629,1.0,97.90424999999999,28.09,4.208151024000472,67716,20480,73.2919254658385
transfer_similar_selective_seed_101,similar,selective,selective,,101,32,20005,0.0,-1005.4106250000034,109,16891,1.0,97.941875,28.135,4.363824881000255,67773,20480,75.77639751552795
transfer_similar_selective_seed_113,similar,selective,selective,,113,32,20005,0.0,-1005.4106250000034,108,17526,1.0,98.02881249999999,28.325,4.406923619000736,68102,20480,73.2919254658385
transfer_different_scratch_seed_5,different,scratch,scratch,,5,0,20005,0.0,-1675.3193749999941,112,18285,1.0,81.12275,22.525,3.76550480700098,61733,20480,67.8082191780822
transfer_different_scratch_seed_17,different,scratch,scratch,,17,0,20005,0.0,-1675.3193749999941,117,18779,1.0,81.6288125,22.51,3.857529996001176,62294,20480,67.8082191780822
transfer_different_scratch_seed_29,different,scratch,scratch,,29,0,20005,0.0,-1675.3193749999941,125,20259,1.0,84.484125,25.25,3.8495304489988484,61230,20480,71.23287671232876
transfer_different_scratch_seed_41,different,scratch,scratch,,41,0,20005,0.0,-1675.3193749999941,112,17728,1.0,86.6135625,24.355,4.145103984001253,62179,20480,67.8082191780822
transfer_different_scratch_seed_53,different,scratch,scratch,,53,0,20005,0.0,-1675.3193749999941,119,17866,1.0,85.08793750000001,24.05,5.115790152000045,62472,20480,73.28767123287672
transfer_different_scratch_seed_65,different,scratch,scratch,,65,0,20005,0.0,-1675.3193749999941,114,17864,1.0,84.6420625,25.275,3.8657799690008687,60258,20480,67.12328767123287
transfer_different_scratch_seed_77,different,scratch,scratch,,77,0,20005,0.0,-1675.3193749999941,109,17085,1.0,82.5010625,22.195,3.8440373089997593,61167,20480,67.8082191780822
transfer_different_scratch_seed_89,different,scratch,scratch,,89,0,20005,0.0,-1675.3193749999941,119,18792,1.0,81.6288125,22.51,3.7812065739999525,60941,20480,72.6027397260274
transfer_different_scratch_seed_101,different,scratch,scratch,,101,0,20005,0.0,-1675.3193749999941,119,20792,1.0,86.57987499999999,24.37,3.861698679998881,62641,20480,71.91780821917808
transfer_different_scratch_seed_113,different,scratch,scratch,,113,0,20005,0.0,-1675.3193749999941,109,14951,1.0,82.8031875,22.47,3.639207975998943,58101,20480,68.4931506849315
transfer_different_full_seed_5,different,full,full,,5,512,20005,0.7,-429.36275000000256,100,5350,1.0,78.11256250000001,22.855,2.9151904840000498,46443,20480,50.68493150684932
transfer_different_full_seed_17,different,full,full,,17,512,20005,0.72,-418.89200000000267,100,6230,1.0,85.91675,24.02,3.356113252999421,47991,20480,56.16438356164384
transfer_different_full_seed_29,different,full,full,,29,512,20005,0.71,-456.59025000000213,100,6237,1.0,85.92518749999999,24.02,3.2469353430005867,46868,20480,62.32876712328767
transfer_different_full_seed_41,different,full,full,,41,512,20005,0.68,-472.47675000000294,100,5750,1.0,81.4801875,22.195,3.0354474320010922,47304,20480,54.794520547945204
transfer_different_full_seed_53,different,full,full,,53,512,20005,0.72,-444.8938750000026,100,5644,1.0,81.3154375,22.895,3.1003506550005113,47828,20480,54.794520547945204
transfer_different_full_seed_65,different,full,full,,65,512,20005,0.68,-472.47675000000294,100,6550,1.0,82.0615625,22.21,3.072794903000613,48602,20480,59.58904109589041
transfer_different_full_seed_77,different,full,full,,77,512,20005,0.7,-431.66487500000255,100,5849,1.0,82.289375,22.165,2.9828040289994533,46567,20480,58.9041095890411
transfer_different_full_seed_89,different,full,full,,89,512,20005,0.72,-391.5156250000024,100,5817,1.0,85.916875,24.02,3.0218495699991763,47107,20480,60.95890410958904
transfer_different_full_seed_101,different,full,full,,101,512,20005,0.7,-432.3526250000026,100,6471,1.0,85.77725000000001,24.055,3.108288929999617,49297,20480,57.534246575342465
transfer_different_full_seed_113,different,full,full,,113,512,20005,0.71,-466.60587500000287,100,5536,1.0,82.2685,22.165,3.020811487998799,47417,20480,61.64383561643836
transfer_different_scaled_beta_0p25_seed_5,different,scaled_beta_0.25,scaled,0.25,5,512,20005,0.7,-429.36275000000256,100,8441,1.0,80.97556250000001,22.085,3.20341843299866,50985,20480,66.43835616438356
transfer_different_scaled_beta_0p25_seed_17,different,scaled_beta_0.25,scaled,0.25,17,512,20005,0.72,-418.89200000000267,100,9165,1.0,86.3751875,24.02,3.7515151369989326,52211,20480,67.8082191780822
transfer_different_scaled_beta_0p25_seed_29,different,scaled_beta_0.25,scaled,0.25,29,512,20005,0.71,-456.59025000000213,100,7987,1.0,81.12275,22.525,3.312819163998938,50876,20480,60.95890410958904
transfer_different_scaled_beta_0p25_seed_41,different,scaled_beta_0.25,scaled,0.25,41,512,20005,0.68,-472.47675000000294,100,8903,1.0,80.7691875,22.07,3.206000235999454,51813,20480,67.12328767123287
transfer_different_scaled_beta_0p25_seed_53,different,scaled_beta_0.25,scaled,0.25,53,512,20005,0.72,-444.8938750000026,100,7517,1.0,84.856875,25.135,3.1430351419985527,49161,20480,64.38356164383562
transfer_different_scaled_beta_0p25_seed_65,different,scaled_beta_0.25,scaled,0.25,65,512,20005,0.68,-472.47675000000294,100,7678,1.0,80.327125,22.73,3.2064894169998297,49249,20480,67.8082191780822
transfer_different_scaled_beta_0p25_seed_77,different,scaled_beta_0.25,scaled,0.25,77,512,20005,0.7,-431.66487500000255,100,7669,1.0,85.4453125,24.475,3.3064522660006332,51043,20480,64.38356164383562
transfer_different_scaled_beta_0p25_seed_89,different,scaled_beta_0.25,scaled,0.25,89,512,20005,0.72,-391.5156250000024,100,7286,1.0,82.2185,22.165,2.988212588999886,47867,20480,69.17808219178082
transfer_different_scaled_beta_0p25_seed_101,different,scaled_beta_0.25,scaled,0.25,101,512,20005,0.7,-432.3526250000026,100,7798,1.0,86.49875,24.015,3.1508344920002855,50120,20480,69.86301369863014
transfer_different_scaled_beta_0p25_seed_113,different,scaled_beta_0.25,scaled,0.25,113,512,20005,0.71,-466.60587500000287,100,8804,1.0,81.553875,22.19,3.5384183440000925,49333,20480,64.38356164383562
transfer_different_scaled_beta_0p50_seed_5,different,scaled_beta_0.50,scaled,0.5,5,512,20005,0.7,-429.36275000000256,100,6337,1.0,80.9770625,22.325,6.011260262999713,47926,20480,63.6986301369863
transfer_different_scaled_beta_0p50_seed_17,different,scaled_beta_0.50,scaled,0.5,17,512,20005,0.72,-418.89200000000267,100,7211,1.0,82.043125,22.17,3.304906571000174,49098,20480,62.32876712328767
transfer_different_scaled_beta_0p50_seed_29,different,scaled_beta_0.50,scaled,0.5,29,512,20005,0.71,-456.59025000000213,100,5954,1.0,86.52518749999999,24.02,3.071938510000109,47309,20480,67.8082191780822
transfer_different_scaled_beta_0p50_seed_41,different,scaled_beta_0.50,scaled,0.5,41,512,20005,0.68,-472.47675000000294,100,5397,1.0,85.91675,24.02,3.0128694720006024,47051,20480,61.64383561643836
transfer_different_scaled_beta_0p50_seed_53,different,scaled_beta_0.50,scaled,0.5,53,512,20005,0.72,-444.8938750000026,100,6528,1.0,81.6288125,22.51,3.095532950999768,49024,20480,60.95890410958904
transfer_different_scaled_beta_0p50_seed_65,different,scaled_beta_0.50,scaled,0.5,65,512,20005,0.68,-472.47675000000294,100,6403,1.0,80.96625,22.28,2.9908848169998237,47565,20480,62.32876712328767
transfer_different_scaled_beta_0p50_seed_77,different,scaled_beta_0.50,scaled,0.5,77,512,20005,0.7,-431.66487500000255,100,7401,1.0,81.6288125,22.51,3.1928661309993913,51328,20480,63.6986301369863
transfer_different_scaled_beta_0p50_seed_89,different,scaled_beta_0.50,scaled,0.5,89,512,20005,0.72,-391.5156250000024,100,6704,1.0,85.27175,24.445,3.1230416180005705,48681,20480,61.64383561643836
transfer_different_scaled_beta_0p50_seed_101,different,scaled_beta_0.50,scaled,0.5,101,512,20005,0.7,-432.3526250000026,100,6037,1.0,80.327125,22.73,3.1477067390005686,49288,20480,61.64383561643836
transfer_different_scaled_beta_0p50_seed_113,different,scaled_beta_0.50,scaled,0.5,113,512,20005,0.71,-466.60587500000287,100,5891,1.0,86.68818749999998,24.495,7.030709618999026,48663,20480,65.06849315068493
transfer_different_scaled_beta_0p75_seed_5,different,scaled_beta_0.75,scaled,0.75,5,512,20005,0.7,-429.36275000000256,100,5884,1.0,81.6288125,22.51,13.351942203000362,49440,20480,59.58904109589041
transfer_different_scaled_beta_0p75_seed_17,different,scaled_beta_0.75,scaled,0.75,17,512,20005,0.72,-418.89200000000267,100,6220,1.0,86.3751875,24.02,3.0427066150004975,47650,20480,65.75342465753425
transfer_different_scaled_beta_0p75_seed_29,different,scaled_beta_0.75,scaled,0.75,29,512,20005,0.71,-456.59025000000213,100,5585,1.0,81.4801875,22.195,2.933678012999735,46990,20480,63.013698630136986
transfer_different_scaled_beta_0p75_seed_41,different,scaled_beta_0.75,scaled,0.75,41,512,20005,0.68,-472.47675000000294,100,4937,1.0,84.36675,24.02,2.9570700470012525,46014,20480,56.16438356164384
transfer_different_scaled_beta_0p75_seed_53,different,scaled_beta_0.75,scaled,0.75,53,512,20005,0.72,-444.8938750000026,100,5815,1.0,85.4453125,24.475,3.0325658500005375,47483,20480,62.32876712328767
transfer_different_scaled_beta_0p75_seed_65,different,scaled_beta_0.75,scaled,0.75,65,512,20005,0.68,-472.47675000000294,100,6385,1.0,82.043125,22.17,3.1054673710004863,48181,20480,59.58904109589041
transfer_different_scaled_beta_0p75_seed_77,different,scaled_beta_0.75,scaled,0.75,77,512,20005,0.7,-431.66487500000255,100,5829,1.0,81.722125,22.215,3.11408979800035,47134,20480,61.64383561643836
transfer_different_scaled_beta_0p75_seed_89,different,scaled_beta_0.75,scaled,0.75,89,512,20005,0.72,-391.5156250000024,100,5556,1.0,81.6288125,22.51,3.000764745000197,46881,20480,51.36986301369863
transfer_different_scaled_beta_0p75_seed_101,different,scaled_beta_0.75,scaled,0.75,101,512,20005,0.7,-432.3526250000026,100,6136,1.0,86.1879375,24.05,16.481353252998815,46327,20480,58.21917808219178
transfer_different_scaled_beta_0p75_seed_113,different,scaled_beta_0.75,scaled,0.75,113,512,20005,0.71,-466.60587500000287,100,6186,1.0,85.27175,24.445,3.140484399998968,48556,20480,57.534246575342465
