episode,q_action_0,q_action_1,q_action_2,q_action_3
0,60.25992712414976,80.49988430571314,93.7558482528334,85.14052281504
40,60.25992712414976,80.49988430571314,93.7558482528334,85.14052281504
80,60.25992712414976,80.49988430571314,93.7558482528334,85.14052281504
120,68.03659246865331,86.45120069056956,93.7558482528334,63.379231425540645
160,71.97788091346692,69.8848317088114,71.08796871595085,56.12337164024974
200,70.64705128702899,69.89232737660824,57.47729476065463,82.25826057530001
240,74.97506909096191,74.46740906387612,63.07304307022237,95.67309909984097
280,82.90024120258339,79.17418967859834,65.30492887703465,96.1499548493503
320,82.90024120258339,80.9195887383188,65.30492887703465,104.79118947087142
360,85.99039600820517,82.82323180339067,65.30492887703465,106.60873397468735
400,88.93687349956026,87.81613441205856,67.30914107856508,101.69227919435049
440,88.93687349956026,87.81613441205856,67.30914107856508,101.14587380403074
480,90.34800315574114,87.81613441205856,67.30914107856508,109.7715336681636
520,90.34800315574114,87.81613441205856,67.30914107856508,107.20526605651307
560,90.34800315574114,87.81613441205856,67.30914107856508,108.56114696832792
600,90.34800315574114,87.81613441205856,69.64567264089403,105.66960706021791
640,90.34800315574114,87.81613441205856,71.7977297009973,106.48467328267814
680,90.34800315574114,87.81613441205856,71.7977297009973,108.47579530089608
720,90.34800315574114,87.81613441205856,71.7977297009973,105.13301588621157
760,90.34800315574114,87.81613441205856,74.15054682468144,102.82990768468478
799,94.4624491228024,87.81613441205856,74.15054682468144,110.1550548004701
