algorithm,episode,return,steps,success,epsilon,wall_hits,penalty_entries,locked_door_attempts,gate_blocks,key_collected,door_crossings,seed,epsilon_schedule,reward_mode
q_learning,54,-482.2400000000011,441,0,0.951379937826977,150,21,0,0,1,1,5,linear,shaping
q_learning,55,-356.71,441,0,0.9504795663052544,136,6,0,0,1,1,5,linear,shaping
q_learning,56,-471.99000000000063,441,0,0.9495791947835317,127,24,0,0,1,4,5,linear,shaping
q_learning,57,-334.6000000000001,441,0,0.9486788232618091,138,3,0,0,1,4,5,linear,shaping
q_learning,58,-387.8899999999998,441,0,0.9477784517400865,137,12,0,0,1,0,5,linear,shaping
q_learning,59,-441.7400000000009,441,0,0.9468780802183638,136,18,0,0,1,5,5,linear,shaping
q_learning,60,-61.29999999999991,177,1,0.9459777086966411,53,9,0,0,1,5,5,linear,shaping
q_learning,61,-153.18999999999988,283,1,0.9450773371749185,105,4,0,0,1,2,5,linear,shaping
q_learning,62,-409.2800000000001,441,0,0.9441769656531959,130,15,0,0,1,2,5,linear,shaping
q_learning,63,-419.0499999999997,441,0,0.9432765941314732,122,19,0,0,1,0,5,linear,shaping
q_learning,64,-422.6600000000004,441,0,0.9423762226097505,136,15,0,0,1,2,5,linear,shaping
q_learning,65,-490.49000000000086,441,0,0.9414758510880279,125,28,0,0,1,0,5,linear,shaping
q_learning,66,-165.9699999999997,337,1,0.9405754795663053,107,6,0,0,1,1,5,linear,shaping
q_learning,67,-426.5400000000001,441,0,0.9396751080445827,134,16,0,0,1,8,5,linear,shaping
q_learning,68,-254.2200000000003,441,0,0.9387747365228599,98,1,0,0,1,0,5,linear,shaping
q_learning,69,-420.1800000000009,441,0,0.9378743650011373,140,14,0,1,1,2,5,linear,shaping
q_learning,70,-392.9999999999998,441,0,0.9369739934794147,116,17,0,0,1,0,5,linear,shaping
q_learning,71,-294.83999999999963,398,1,0.9360736219576921,126,15,0,0,1,7,5,linear,shaping
q_learning,72,-475.7299999999997,441,0,0.9351732504359693,122,24,0,0,1,10,5,linear,shaping
q_learning,73,-413.7299999999997,441,0,0.9342728789142467,125,16,0,0,1,5,5,linear,shaping
q_learning,74,-352.76999999999975,441,0,0.9333725073925241,121,8,1,0,0,0,5,linear,shaping
q_learning,75,-357.32999999999964,441,0,0.9324721358708015,104,14,0,0,1,0,5,linear,shaping
q_learning,76,-392.8799999999997,441,0,0.9315717643490787,135,12,0,0,1,0,5,linear,shaping
q_learning,77,-340.86,441,0,0.9306713928273561,110,10,0,0,1,3,5,linear,shaping
q_learning,78,-437.7100000000002,441,0,0.9297710213056335,117,22,0,0,1,3,5,linear,shaping
q_learning,79,-469.5200000000002,441,0,0.9288706497839109,156,13,0,1,1,8,5,linear,shaping
q_learning,80,-413.99000000000063,441,0,0.9279702782621881,138,13,0,1,1,3,5,linear,shaping
q_learning,81,-385.2500000000005,441,0,0.9270699067404655,141,6,0,1,1,5,5,linear,shaping
q_learning,82,-375.27000000000055,441,0,0.9261695352187429,112,14,0,0,1,5,5,linear,shaping
q_learning,83,-403.8400000000011,441,0,0.9252691636970203,120,17,0,0,1,0,5,linear,shaping
q_learning,84,-362.5600000000009,441,0,0.9243687921752977,117,12,0,0,1,0,5,linear,shaping
q_learning,85,-435.23000000000025,441,0,0.9234684206535749,108,23,0,0,1,5,5,linear,shaping
q_learning,86,-215.61999999999938,389,1,0.9225680491318523,114,7,0,1,1,4,5,linear,shaping
q_learning,87,-336.36000000000035,441,0,0.9216676776101297,86,15,0,0,1,1,5,linear,shaping
q_learning,88,-454.64000000000044,441,0,0.920767306088407,147,19,0,0,1,0,5,linear,shaping
q_learning,89,-319.2900000000002,441,0,0.9198669345666843,125,3,5,0,1,5,5,linear,shaping
q_learning,90,-320.16999999999985,441,0,0.9189665630449617,108,8,0,0,1,1,5,linear,shaping
q_learning,91,-465.52000000000044,441,0,0.9180661915232391,106,29,0,0,1,0,5,linear,shaping
q_learning,92,-400.88000000000056,441,0,0.9171658200015165,126,15,0,0,1,0,5,linear,shaping
q_learning,93,-379.5300000000003,441,0,0.9162654484797937,131,10,0,0,1,2,5,linear,shaping
q_learning,94,-374.17999999999984,441,0,0.9153650769580711,130,10,0,0,1,1,5,linear,shaping
q_learning,95,-457.8899999999995,441,0,0.9144647054363485,148,12,0,3,1,3,5,linear,shaping
q_learning,96,-440.3100000000004,441,0,0.9135643339146258,168,11,0,0,1,0,5,linear,shaping
q_learning,97,-459.69000000000057,441,0,0.9126639623929031,170,7,0,3,1,2,5,linear,shaping
q_learning,98,-449.11000000000024,441,0,0.9117635908711805,101,27,0,0,1,4,5,linear,shaping
q_learning,99,-379.81,441,0,0.9108632193494579,100,18,0,0,1,0,5,linear,shaping
q_learning,100,-439.23000000000025,441,0,0.9099628478277353,100,24,0,0,1,4,5,linear,shaping
q_learning,101,-389.4900000000007,441,0,0.9090624763060126,131,12,0,0,1,4,5,linear,shaping
q_learning,102,-369.1299999999999,441,0,0.9081621047842899,136,7,0,0,1,3,5,linear,shaping
q_learning,103,-417.19,441,0,0.9072617332625673,129,12,0,5,1,5,5,linear,shaping
q_learning,104,-377.3399999999999,441,0,0.9063613617408446,142,6,0,0,1,5,5,linear,shaping
q_learning,105,-492.0600000000006,441,0,0.905460990219122,94,34,0,1,1,5,5,linear,shaping
q_learning,106,-406.0799999999991,441,0,0.9045606186973993,122,12,0,1,1,1,5,linear,shaping
q_learning,107,-379.30000000000024,441,0,0.9036602471756767,138,9,0,0,1,1,5,linear,shaping
q_learning,108,-353.12000000000046,441,0,0.9027598756539541,102,14,0,0,1,0,5,linear,shaping
q_learning,109,-416.1999999999999,441,0,0.9018595041322314,110,20,0,0,1,6,5,linear,shaping
q_learning,110,-226.99000000000024,418,1,0.9009591326105088,87,13,0,5,1,6,5,linear,shaping
q_learning,111,-421.2999999999998,441,0,0.9000587610887861,126,16,0,0,1,1,5,linear,shaping
q_learning,112,-420.43000000000006,441,0,0.8991583895670635,138,15,0,0,1,0,5,linear,shaping
q_learning,113,-181.81000000000017,337,1,0.8982580180453408,119,6,0,0,1,2,5,linear,shaping
q_learning,114,-435.3800000000009,441,0,0.8973576465236182,124,21,0,0,1,0,5,linear,shaping
q_learning,115,-287.5700000000001,441,0,0.8964572750018955,102,4,0,0,1,3,5,linear,shaping
q_learning,116,-431.9400000000005,441,0,0.8955569034801729,130,15,0,1,1,6,5,linear,shaping
q_learning,117,-409.4500000000004,441,0,0.8946565319584502,116,19,0,0,1,2,5,linear,shaping
q_learning,118,-283.7000000000005,441,0,0.8937561604367276,91,6,0,0,1,0,5,linear,shaping
q_learning,119,-298.8500000000002,441,0,0.8928557889150049,113,3,0,0,1,0,5,linear,shaping
q_learning,120,-69.53999999999995,211,1,0.8919554173932823,69,6,0,0,1,4,5,linear,shaping
q_learning,121,-373.5000000000005,441,0,0.8910550458715596,141,6,0,2,1,8,5,linear,shaping
q_learning,122,-290.31000000000023,441,0,0.890154674349837,76,10,0,0,1,2,5,linear,shaping
q_learning,123,-272.33000000000055,399,1,0.8892543028281144,136,10,0,1,1,12,5,linear,shaping
q_learning,124,-274.75000000000034,441,0,0.8883539313063917,103,2,0,0,1,0,5,linear,shaping
q_learning,125,-137.8399999999998,238,1,0.887453559784669,78,12,0,0,1,4,5,linear,shaping
q_learning,126,-219.48999999999944,387,1,0.8865531882629464,109,9,0,0,1,3,5,linear,shaping
q_learning,127,-388.8200000000007,441,0,0.8856528167412238,120,15,0,0,1,0,5,linear,shaping
q_learning,128,-389.15000000000066,441,0,0.8847524452195011,154,7,0,0,1,0,5,linear,shaping
q_learning,129,-384.03999999999974,441,0,0.8838520736977784,114,14,0,0,1,11,5,linear,shaping
q_learning,130,-314.92999999999967,441,0,0.8829517021760558,118,4,0,0,1,2,5,linear,shaping
q_learning,131,-388.71,441,0,0.8820513306543332,122,15,0,0,1,0,5,linear,shaping
q_learning,132,-420.8399999999999,441,0,0.8811509591326105,124,19,0,0,1,0,5,linear,shaping
q_learning,133,-32.87000000000002,244,1,0.8802505876108879,54,1,0,2,1,3,5,linear,shaping
q_learning,134,-441.600000000001,441,0,0.8793502160891652,154,9,0,0,1,4,5,linear,shaping
q_learning,135,-251.38000000000002,441,0,0.8784498445674426,94,0,0,0,1,8,5,linear,shaping
q_learning,136,-194.92000000000024,343,1,0.87754947304572,91,8,0,6,1,2,5,linear,shaping
q_learning,137,-280.0099999999998,441,0,0.8766491015239973,95,4,0,0,1,3,5,linear,shaping
q_learning,138,-398.49999999999955,441,0,0.8757487300022746,135,6,0,3,1,7,5,linear,shaping
q_learning,139,-393.7600000000006,441,0,0.874848358480552,115,15,0,2,1,5,5,linear,shaping
q_learning,140,-285.99999999999994,441,0,0.8739479869588294,88,6,0,0,1,0,5,linear,shaping
q_learning,141,-342.2299999999997,441,0,0.8730476154371067,101,12,0,0,1,0,5,linear,shaping
q_learning,142,-290.1099999999999,441,0,0.872147243915384,76,10,0,0,1,4,5,linear,shaping
q_learning,143,-316.5800000000002,441,0,0.8712468723936614,130,1,0,0,1,5,5,linear,shaping
q_learning,144,-433.4300000000011,441,0,0.8703465008719388,149,13,0,0,1,2,5,linear,shaping
q_learning,145,-336.5000000000007,441,0,0.8694461293502161,118,7,0,0,1,6,5,linear,shaping
q_learning,146,-271.24000000000007,441,0,0.8685457578284934,105,1,0,0,1,0,5,linear,shaping
q_learning,147,67.21000000000001,88,1,0.8676453863067708,28,1,0,0,1,1,5,linear,shaping
q_learning,148,-449.7000000000007,441,0,0.8667450147850482,124,22,0,1,1,2,5,linear,shaping
q_learning,149,-207.97999999999945,365,1,0.8658446432633256,95,10,0,4,1,3,5,linear,shaping
q_learning,150,-257.13,441,0,0.8649442717416028,94,2,0,0,1,1,5,linear,shaping
q_learning,151,-362.0700000000005,441,0,0.8640439002198802,130,8,0,0,1,0,5,linear,shaping
q_learning,152,-70.72999999999986,196,1,0.8631435286981576,70,7,0,0,1,3,5,linear,shaping
q_learning,153,-414.35999999999984,441,0,0.8622431571764348,129,14,0,0,1,1,5,linear,shaping
q_learning,154,-261.9599999999997,441,0,0.8613427856547122,84,5,0,0,1,0,5,linear,shaping
q_learning,155,-311.62000000000006,441,0,0.8604424141329896,105,8,0,0,1,3,5,linear,shaping
q_learning,156,-332.3600000000012,441,0,0.859542042611267,104,11,0,0,1,1,5,linear,shaping
q_learning,157,-420.8300000000005,441,0,0.8586416710895444,122,19,0,0,1,0,5,linear,shaping
q_learning,158,-321.08999999999963,441,0,0.8577412995678217,112,7,0,0,1,0,5,linear,shaping
q_learning,159,-275.53999999999996,441,0,0.856840928046099,91,6,0,0,1,0,5,linear,shaping
q_learning,160,-391.37999999999994,441,0,0.8559405565243764,114,17,0,0,1,0,5,linear,shaping
q_learning,161,-268.55000000000075,427,1,0.8550401850026538,141,8,0,0,1,3,5,linear,shaping
q_learning,162,-419.3900000000009,441,0,0.854139813480931,149,10,0,0,1,1,5,linear,shaping
q_learning,163,-462.26000000000107,441,0,0.8532394419592084,124,23,0,0,1,0,5,linear,shaping
q_learning,164,-346.34000000000015,441,0,0.8523390704374858,102,13,0,0,1,3,5,linear,shaping
q_learning,165,-379.5000000000003,441,0,0.8514386989157632,101,17,0,0,1,0,5,linear,shaping
q_learning,166,-236.80000000000024,441,0,0.8505383273940404,83,1,0,0,1,1,5,linear,shaping
q_learning,167,-402.6199999999997,441,0,0.8496379558723178,102,16,0,3,1,2,5,linear,shaping
q_learning,168,-42.689999999999785,210,1,0.8487375843505952,60,4,0,0,1,2,5,linear,shaping
q_learning,169,-43.33999999999985,169,1,0.8478372128288726,46,9,0,1,1,4,5,linear,shaping
q_learning,170,-46.51999999999988,211,1,0.8469368413071499,61,4,0,0,1,1,5,linear,shaping
