gamma,iterations,runtime_seconds,bellman_backups,memory_bytes,final_delta,bellman_residual
0.8,95,2.694067239001015,63840,20992,8.826717134979845e-11,6.719602652083267e-11
0.95,90,2.523520890999862,60480,20992,7.780798227940977e-11,4.643219142508315e-11
0.99,98,2.7361244409985375,65856,20992,9.22071308195882e-11,5.738343133998569e-11
