episode,step,state,action,reward,next_state,terminated,q_before,bootstrap,target,td_error,q_after
0,35,"(14, 3, 0, 2)",3,-0.4799999999999997,"(14, 4, 0, 3)",False,-0.021999999999999995,0.0,-0.4799999999999997,-0.4579999999999997,-0.12275999999999992
0,36,"(14, 4, 0, 3)",3,-0.4699999999999996,"(14, 5, 0, 0)",False,0.0,0.0,-0.4699999999999996,-0.4699999999999996,-0.10339999999999991
0,37,"(14, 5, 0, 0)",1,-1.7699999999999996,"(14, 5, 0, 1)",False,0.0,0.0,-1.7699999999999996,-1.7699999999999996,-0.3893999999999999
0,38,"(14, 5, 0, 1)",2,-0.07999999999999968,"(14, 4, 0, 2)",False,0.0,0.0,-0.07999999999999968,-0.07999999999999968,-0.01759999999999993
0,39,"(14, 4, 0, 2)",0,-0.08999999999999986,"(14, 3, 0, 3)",False,0.0,0.0,-0.08999999999999986,-0.08999999999999986,-0.01979999999999997
0,40,"(14, 3, 0, 3)",3,-0.4799999999999997,"(14, 4, 0, 0)",False,0.0,0.0,-0.4799999999999997,-0.4799999999999997,-0.10559999999999993
0,41,"(14, 4, 0, 0)",3,-0.4699999999999996,"(14, 5, 0, 1)",False,0.0,0.0,-0.4699999999999996,-0.4699999999999996,-0.10339999999999991
0,42,"(14, 5, 0, 1)",2,-0.07999999999999968,"(14, 4, 0, 2)",False,-0.01759999999999993,0.0,-0.07999999999999968,-0.06239999999999975,-0.03132799999999988
0,43,"(14, 4, 0, 2)",1,-1.7799999999999998,"(14, 4, 0, 3)",False,0.0,0.0,-1.7799999999999998,-1.7799999999999998,-0.39159999999999995
0,44,"(14, 4, 0, 3)",1,-1.7799999999999998,"(14, 4, 0, 0)",False,0.0,0.0,-1.7799999999999998,-1.7799999999999998,-0.39159999999999995
0,45,"(14, 4, 0, 0)",3,-0.4699999999999996,"(14, 5, 0, 1)",False,-0.10339999999999991,0.0,-0.4699999999999996,-0.3665999999999997,-0.18405199999999983
0,46,"(14, 5, 0, 1)",1,-1.7699999999999996,"(14, 5, 0, 2)",False,0.0,0.0,-1.7699999999999996,-1.7699999999999996,-0.3893999999999999
0,47,"(14, 5, 0, 2)",3,-0.4599999999999994,"(14, 6, 0, 3)",False,0.0,0.0,-0.4599999999999994,-0.4599999999999994,-0.10119999999999987
0,48,"(14, 6, 0, 3)",0,-0.06999999999999956,"(13, 6, 0, 0)",False,0.0,0.0,-0.06999999999999956,-0.06999999999999956,-0.015399999999999903
0,49,"(13, 6, 0, 0)",2,-0.07999999999999968,"(13, 5, 0, 1)",False,0.0,0.0,-0.07999999999999968,-0.07999999999999968,-0.01759999999999993
0,50,"(13, 5, 0, 1)",3,-0.4699999999999996,"(13, 6, 0, 2)",False,0.0,0.0,-0.4699999999999996,-0.4699999999999996,-0.10339999999999991
