gamma,iterations,converged,final_delta,runtime_seconds,start_value,memory_bytes_values_q_policy
0.85,126,True,9.312287829743582e-09,0.022074059000260604,10.049676807269073,83968
0.95,354,True,9.99437155257965e-09,0.057830169000226306,35.03865768900736,83968
0.99,1874,True,9.938531775333104e-09,0.30948635499999,92.40966508902713,83968
