algorithm,lambda,episode,return,steps,success,epsilon,wall_hits,penalty_entries,gate_blocks,seed,lambda_label
sarsa_lambda,0.0,59,-389.60000000000076,441,0,0.8457641092149855,94,18,3,5,lambda=0.0
sarsa_lambda,0.0,60,-366.95000000000107,441,0,0.8433661929773838,111,14,0,5,lambda=0.0
sarsa_lambda,0.0,61,-232.89999999999964,419,1,0.840975075328443,126,6,1,5,lambda=0.0
sarsa_lambda,0.0,62,20.779999999999973,90,1,0.8385907369927572,26,8,0,5,lambda=0.0
sarsa_lambda,0.0,63,-86.97000000000001,288,1,0.8362131587495711,66,5,0,5,lambda=0.0
sarsa_lambda,0.0,64,-435.66,441,0,0.8338423214326236,111,19,2,5,lambda=0.0
sarsa_lambda,0.0,65,-369.93999999999954,441,0,0.8314782059299942,119,11,0,5,lambda=0.0
sarsa_lambda,0.0,66,-410.76000000000033,441,0,0.8291207931839485,109,18,2,5,lambda=0.0
sarsa_lambda,0.0,67,-378.7500000000003,441,0,0.8267700641907848,121,13,0,5,lambda=0.0
sarsa_lambda,0.0,68,-273.71000000000026,441,0,0.8244260000006809,80,7,0,5,lambda=0.0
sarsa_lambda,0.0,69,-81.22999999999978,278,1,0.8220885817175411,74,3,0,5,lambda=0.0
sarsa_lambda,0.0,70,-142.0599999999999,338,1,0.819757790498844,99,3,1,5,lambda=0.0
sarsa_lambda,0.0,71,-290.8299999999999,441,0,0.817433607555491,93,6,0,5,lambda=0.0
sarsa_lambda,0.0,72,-120.78999999999986,259,1,0.8151160141516541,103,2,0,5,lambda=0.0
sarsa_lambda,0.0,73,-14.840000000000018,180,1,0.8128049916046256,44,4,2,5,lambda=0.0
sarsa_lambda,0.0,74,-432.09999999999906,441,0,0.8105005212846668,132,15,1,5,lambda=0.0
sarsa_lambda,0.0,75,-426.0899999999998,441,0,0.8082025846148582,137,12,0,5,lambda=0.0
sarsa_lambda,0.0,76,-407.3599999999998,441,0,0.8059111630709499,107,21,0,5,lambda=0.0
sarsa_lambda,0.0,77,-453.2700000000009,441,0,0.8036262381812121,115,24,0,5,lambda=0.0
sarsa_lambda,0.0,78,21.20999999999995,138,1,0.801347791526286,46,1,0,5,lambda=0.0
sarsa_lambda,0.0,79,-176.91999999999928,436,1,0.7990758047390356,88,5,0,5,lambda=0.0
sarsa_lambda,0.0,80,-347.34999999999985,441,0,0.7968102595043994,105,12,0,5,lambda=0.0
sarsa_lambda,0.0,81,-257.97,441,0,0.7945511375592431,88,2,0,5,lambda=0.0
sarsa_lambda,0.0,82,-47.219999999999956,208,1,0.792298420692212,42,7,0,5,lambda=0.0
sarsa_lambda,0.0,83,-324.6400000000005,441,0,0.7900520907435843,79,15,0,5,lambda=0.0
sarsa_lambda,0.0,84,-212.70000000000033,380,1,0.7878121296051251,130,5,0,5,lambda=0.0
sarsa_lambda,0.0,85,-324.55000000000035,441,0,0.7855785192199398,102,10,0,5,lambda=0.0
sarsa_lambda,0.0,86,-424.1300000000007,441,0,0.7833512415823287,141,13,0,5,lambda=0.0
sarsa_lambda,0.0,87,-353.6199999999997,441,0,0.7811302787376425,112,12,0,5,lambda=0.0
